GCC,Clang,DaCe,Polygeist + MLIR,DCIR
0.000730,0.000682,0.000609,0.001816,0.000627
0.000729,0.000682,0.000576,0.001819,0.00062
0.000730,0.000680,0.000572,0.001818,0.000619
0.000727,0.000680,0.000576,0.001819,0.000614
0.000731,0.000682,0.000576,0.001818,0.000611
0.000727,0.000683,0.000573,0.001816,0.000612
0.000730,0.000681,0.000577,0.001817,0.000612
0.000728,0.000685,0.000576,0.001816,0.000611
0.000732,0.000685,0.000573,0.001815,0.000612
0.000727,0.000684,0.000576,0.001818,0.000618
