GCC,Clang,DaCe,Polygeist + MLIR,DCIR
0.025943,0.026960,0.028718,0.044003,0.030489
0.025678,0.026535,0.029043,0.043873,0.031123
0.025726,0.027323,0.023906,0.043653,0.025576
0.025791,0.026981,0.023831,0.043814,0.025559
0.026028,0.027378,0.023672,0.043918,0.025591
0.025853,0.027047,0.023850,0.043809,0.025612
0.025772,0.027383,0.023898,0.043765,0.025373
0.025916,0.027059,0.023953,0.043944,0.025415
0.025789,0.027468,0.023887,0.043735,0.02545
0.025757,0.027175,0.023925,0.044067,0.025404
